Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Note
TEL,Common Stock,TE Connectivity Ltd,"TE Connectivity is an American Swiss-domiciled technology company that designs and manufactures connectors and sensors for several industries, such as automotive, industrial equipment, data communication systems, aerospace, defense, medical, oil and gas, consumer electronics and energy.",1385157,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC","RHEINSTRASSE 20, CH-8200 SCHAFFHAUSEN, CH",September,44651,40604176000,3572000000,17.09,1.891,33.78,1.98,0.018,7.36,46.26,0.161,0.183,0.0837,0.232,15219000000,4887000000,7.36,0.496,0.084,156.71,17.09,17.86,2.668,3.858,2.814,12.3,1.323,165.81,120.22,130.18,145.6,322819000,44988,44700,
THRM,Common Stock,Gentherm Incorporated,"Gentherm Incorporated designs, develops, manufactures and markets thermal management technologies. The company is headquartered in Northville, Michigan.",903129,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21680 HAGGERTY ROAD, NORTHVILLE, MI, US",December,44561,2280407000,157425000,24.67,0.71,19.81,0,0,2.79,31.62,0.0893,0.114,0.0759,0.151,1046150000,303631000,2.79,-0.414,-0.141,91.75,24.67,22.08,2.18,3.416,2.014,13.56,1.244,99,61.15,72.69,81.54,33131000,None,None,
TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",December,44561,2.16434E+11,12820000000,28.41,6.79,103.42,1.04,0.0022,19.46,99.52,0.197,0.261,0.0779,0.205,39211000000,19638000000,19.46,-0.333,0.014,677.29,28.41,24.57,5.52,5.31,6.29,20.62,0.826,671.96,437.85,563.15,584.99,391439000,44665,44635,
TSCO,Common Stock,Tractor Supply Company,"Tractor Supply Company (TSCO) is an American retail chain of stores that offers products for home improvement, agriculture, lawn and garden maintenance, livestock, equine and pet care.",916365,NASDAQ,USD,USA,TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY","5401 VIRGINIA WAY, BRENTWOOD, TN, US",December,44651,23137964000,1640156000,23.96,2.242,17.7,2.08,0.0183,8.61,110.9,0.0783,0.108,0.116,0.508,12731105000,4477153000,8.61,0.674,0.153,244.88,23.96,21.41,1.817,12.62,2.014,16.23,0.983,241.54,169.25,221.06,213.42,112146000,44628,44609,
ALTR,Common Stock,Altair Engineering Inc,"Altair Engineering Inc. provides software and cloud solutions in the areas of simulation, high-performance computing, data analysis, and artificial intelligence globally. The company is headquartered in Troy, Michigan.",1701732,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1820 E. BIG BEAVER ROAD, TROY, MI, US",December,44561,4428618000,43036000,None,0,7.74,0,0,-0.12,6.99,-0.0165,0.0327,0.0109,-0.0177,532179000,403538000,-0.12,1.25,0.055,84.17,-,70.42,8.32,7.05,7.78,110.69,1.516,82.96,53.44,61.31,68.75,51907000,None,None,
APAM,Common Stock,Artisan Partners Asset Management Inc,"Artisan Partners Asset Management Inc. is a publicly owned investment manager. The company is headquartered in Milwaukee, Wisconsin with additional offices in Atlanta, Georgia; New York City; San Francisco, California; Leawood, Kansas; and London, United Kingdom.",1517302,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"875 E. WISCONSIN AVENUE, SUITE 800, MILWAUKEE, WI, US",December,44651,2261226000,547424000,6.59,1.38,4.141,3.98,0.12,5.09,20.5,0.274,0.44,0.286,1.285,1227236000,664700000,5.09,0.07,0.207,36.83,6.59,7.69,1.843,10.16,2.204,4.996,1.803,51.73,32.07,37.36,45.2,67399000,5/31/2022,5/16/2022,
ARE,Common Stock,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. is an American real estate investment trust that invests in office buildings and laboratories leased to tenants in the life science and technology industries.",1035443,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"26 NORTH EUCLID AVENUE, PASADENA, CA, US",December,44651,29731791000,1296609000,47.69,844.2,102.44,4.48,0.0245,3.82,14.47,0.269,0.249,0.0125,0.0403,2126405000,1502850000,3.82,-0.856,0.262,232.1,47.69,51.55,13.98,1.756,17.63,25.97,0.833,223.67,167.63,194.17,200.78,163218000,4/15/2022,3/30/2022,
ASGN,Common Stock,ASGN Incorporated,"ASGN Incorporated provides professional staff and IT solutions in the fields of technology, digital, creative, engineering and life sciences in the commercial and government sectors in the United States and internationally. The company is headquartered in Glen Allen, Virginia.",890564,NYSE,USD,USA,TRADE & SERVICES,SERVICES-HELP SUPPLY SERVICES,"4400 COX ROAD, SUITE 110, GLEN ALLEN, VA, US",December,44651,5812923000,440500000,14.78,2.02,36.01,0,0,7.66,76.08,0.102,0.0875,0.0647,0.134,4009500000,1142400000,7.66,0.558,0.17,130.17,14.78,18.02,1.45,3.122,1.594,14.51,2.008,131.89,91.61,112.5,114.79,51337000,None,None,
ASIX,Common Stock,AdvanSix Inc,"AdvanSix Inc. manufactures and sells polymer resins in the United States and internationally. The company is headquartered in Parsippany, New Jersey.",1673985,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","300 KIMBALL DRIVE, SUITE 101, PARSIPPANY, NJ, US",December,44561,1277048000,256477000,9.43,0,21.36,0.25,0.0055,4.81,59.84,0.083,0.114,0.0928,0.268,1684625000,274122000,4.81,-0.157,0.246,66,9.43,-,0.758,2.085,0.896,5.91,1.797,57.1,27.06,47.45,43.09,28141200,3/15/2022,2/28/2022,
CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",December,44651,41498976000,920349000,60.2,2.571,9.9,0,0,2.5,10.93,0.233,0.26,0.117,0.266,2988244000,2681238000,2.5,0.033,0.017,187.22,60.2,39.37,13.89,15.07,12.94,39.81,1.128,192.7,118.11,153.81,160.87,275759000,None,None,
CMG,Common Stock,Chipotle Mexican Grill Inc,"Chipotle Mexican Grill, Inc., often known simply as Chipotle, is an American chain of fast casual restaurants in the United States, United Kingdom, Canada, Germany, and France, specializing in tacos and Mission burritos that are made to order in front of the customer.",1058090,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"1401 WYNKOOP, SUITE 500, DENVER, CO, US",December,44651,40889102000,1084304000,63.81,1.487,81.81,0,0,22.9,268.27,0.0865,0.11,0.0821,0.302,7547061000,2904063000,22.9,-0.3,0.22,1905.96,63.81,45.25,5.42,19.09,5.55,38.76,1.308,1958.55,1277.41,1519.08,1687.09,27984000,None,None,
CNHI,Common Stock,CNH Industrial N.V.,"CNH Industrial NV designs, produces, markets, sells, and finances agricultural and construction equipment, trucks, commercial vehicles, buses, and specialty vehicles in North America, Europe, South America, and internationally. The company is headquartered in London, the United Kingdom.",1567094,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"25 ST. JAMES'S STREET, LONDON,, GB",December,44561,19242775000,3368000000,11.17,0.597,4.998,0.318,0.0214,1.27,24.69,0.0515,0.0747,0.0318,0.296,33428001000,6121000000,1.27,0.833,0.067,16.54,11.17,10.67,0.576,2.839,1.119,10.04,1.775,18.94,12.7,15.17,16.43,1356080000,5/4/2022,4/19/2022,
COST,Common Stock,Costco Wholesale Corporation,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",August,44620,2.34443E+11,9905000000,42.62,4.206,43.8,3.16,0.0068,12.41,474.19,0.0262,0.0384,0.0856,0.31,2.10219E+11,25245000000,12.41,0.364,0.159,593.36,42.62,40.98,1.115,12.14,1.107,24.66,0.669,611.28,368.66,554.12,505.48,443224000,5/13/2022,4/28/2022,
CR,Common Stock,Crane Co,"Crane Co. manufactures and sells industrial engineering products in the United States, Canada, the United Kingdom, continental Europe, and internationally. The company is headquartered in Stamford, Connecticut.",25445,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"CRANE CO., 100 FIRST STAMFORD PLACE, STAMFORD, CT, US",December,44651,5405605000,582700000,13.09,1.181,31.68,1.72,0.0195,7.35,54.45,0.137,0.146,0.0636,0.234,3180000000,1241000000,7.35,0.522,0.127,124,13.09,12.97,1.7,3.131,1.921,9.64,1.648,114.87,83.57,104.21,100.56,56174000,6/8/2022,5/27/2022,
MT,Common Stock,ArcelorMittal,"ArcelorMittal owns and operates steelmaking and mining facilities in Europe, North and South America, Asia and Africa. The company is headquartered in Luxembourg City, Luxembourg.",1243429,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","24-26, BOULEVARD D?AVRANCHES, L-1160 LUXEMBOURG, GRAND DUCHY OF LUXEMBOURG, LU",December,44561,25958834000,19050000000,2.167,0.66,53.91,0.38,0.013,13.49,69.3,0.195,0.218,0.121,0.34,76571001000,19139000000,13.49,2.892,0.467,49.78,2.167,3.802,0.339,0.523,0.394,1.431,2.06,37.87,26.59,31.31,31.9,879174000,6/10/2022,5/13/2022,
NKE,Common Stock,NIKE Inc,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment.",320187,NYSE,USD,USA,MANUFACTURING,RUBBER & PLASTICS FOOTWEAR,"ONE BOWERMAN DR, BEAVERTON, OR, US",May,44620,1.98421E+11,7975000000,33.27,2.008,9.4,1.16,0.0093,3.79,29.62,0.131,0.154,0.121,0.457,46820000000,20001000000,3.79,-0.033,0.05,166.87,33.27,27.32,4.238,13.25,4.174,24.79,0.958,178.78,116.75,130.57,153.25,1268760000,4/1/2022,3/4/2022,
NOG,Common Stock,Northern Oil & Gas Inc,"Northern Oil and Gas, Inc., an independent energy company, is engaged in the acquisition, exploration, exploitation, development and production of crude oil and natural gas properties in the United States. The company is headquartered in Minnetonka, Minnesota.",1104485,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"601 CARLSON PKWY, SUITE 990, MINNETONKA, MN, US",December,44561,1901179000,218787000,None,0.186,2.797,0.155,0.0295,-0.133,14.26,0.0071,0.0901,0.0423,0,898138000,727321000,-0.133,2.972,2.396,40.08,-,4.102,2.117,8.97,2.793,13.19,2.238,30.44,13.84,26.59,22.17,77252000,4/29/2022,6/28/2022,
NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",April,44592,16467664000,1363000000,16.75,0.859,3.955,1.98,0.0273,4.418,27.8,0.163,0.194,0.0826,1.488,6193000000,3815000000,4.418,0.375,0.098,97.95,16.75,13.23,2.659,18.48,2.43,9.88,1.217,96.21,71.59,81.04,86.49,222536000,4/27/2022,4/7/2022,
NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",January,44592,4.86762E+11,11215000000,50.74,2.443,10.62,0.16,0.0009,3.85,10.78,0.362,0.373,0.172,0.448,26914001000,17475000000,3.85,1.034,0.528,329,50.74,33.22,18.09,17.45,19.72,46.75,1.423,346.37,134.5,234.41,244.21,2492000000,3/24/2022,3/2/2022,
OC,Common Stock,Owens Corning,"Owens Corning manufactures and markets a range of fiberglass, roofing and insulation composites in the United States, Canada, Europe, Asia Pacific and internationally. The company is headquartered in Toledo, Ohio.",1370946,NYSE,USD,USA,MANUFACTURING,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS","ONE OWENS CORNING PARKWAY, TOLEDO, OH, US",December,44651,8827320000,1875000000,9.53,0.821,42.79,1.13,0.0154,9.54,82.11,0.117,0.163,0.0889,0.24,8498000000,2232000000,9.54,0.05,0.107,113.88,9.53,8.54,1.039,2.034,1.257,5.36,1.468,108.46,79.35,90.37,91.54,97078000,4/7/2022,3/3/2022,
YUM,Common Stock,Yum! Brands Inc,"Yum! Brands, Inc. is an American fast food corporation listed on the Fortune 1000. Yum! operates the brands KFC, Pizza Hut, Taco Bell, The Habit Burger Grill, and WingStreet worldwide, except in China, where the brands are operated by a separate company, Yum China.",1041061,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"1441 GARDINER LANE, LOUISVILLE, KY, US",December,44561,33722282000,2301000000,22.46,2.188,-26.3,2.07,0.0195,5.21,22.17,0.239,0.325,0.226,0,6584000000,3166000000,5.21,0.016,0.084,140.23,22.46,23.81,5.12,-,6.77,18.71,1.097,139.2,110.78,119.81,125.9,288200000,3/11/2022,2/17/2022,
ZTS,Common Stock,Zoetis Inc,"Zoetis Inc. is an American drug company, the world's largest producer of medicine and vaccinations for pets and livestock.",1555280,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"10 SYLVAN WAY, PARSIPPANY, NJ, US",December,44561,82313413000,3207000000,40.91,3.046,9.61,1,0.0073,4.27,16.39,0.262,0.361,0.128,0.489,7776000000,5481000000,4.27,0.159,0.089,248.82,40.91,34.36,10.59,18.39,11.16,27.47,0.758,248.44,164.26,188.97,204.65,471251000,6/1/2022,4/20/2022,
ASML,Common Stock,ASML Holding N.V.,"ASML Holding NV develops, produces, markets, sells and services advanced semiconductor equipment systems consisting of lithography, metrology and inspection related systems for memory and logic chip manufacturers. The company is headquartered in Veldhoven, the Netherlands.",937966,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","DE RUN 6501, DR VELDHOVEN, NL",December,44651,2.31701E+11,6993900000,37.3,2.448,25.19,5.5,0.0111,15.12,45.41,0.316,0.351,0.142,0.49,18610999000,9809000000,15.12,0.358,0.172,810.68,37.3,32.57,12.45,24.41,12.98,35.7,0.975,893.62,544,631.56,739.71,402602000,2021-11-12,2022-05-03,
AVY,Common Stock,Avery Dennison Corporation,"Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials (such as self-adhesive labels), apparel branding labels and tags, RFID inlays, and specialty medical products. The company is headquartered in Glendale, California.",8818,NYSE,USD,USA,MANUFACTURING,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),"207 GOODE AVENUE, GLENDALE, CA, US",December,44651,14762187000,1261800000,20.3,4.172,23.3,2.66,0.0166,8.83,101.43,0.088,0.125,0.0932,0.434,8408300000,2312800000,8.83,-0.039,0.097,219.64,20.3,18.98,1.756,7.7,2.067,13.54,1.028,227.63,156.51,171.92,201.54,82355000,2022-06-15,2022-05-31,
BCO,Common Stock,The Brink's Company,"The Brink's Company provides secure transportation, cash management, and other security-related services in North America, Latin America, Europe, and internationally. The company is headquartered in Richmond, Virginia.",78890,NYSE,USD,USA,ENERGY & TRANSPORTATION,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,"1801 BAYBERRY COURT, P O BOX 18100, RICHMOND, VA, US",December,44561,2771096000,551500000,27.72,2.83,2.595,0.75,0.0136,2.102,84.85,0.0251,0.0744,0.0365,0.506,4200200000,964400000,2.102,1.011,0.075,97,27.72,17.27,0.66,22.8,1.281,9.16,1.489,80.26,57.12,65.75,68.34,47564300,2022-03-01,2022-02-04,
BLL,Common Stock,Ball Corporation,"Ball Corporation is an American company headquartered in Westminster, Colorado. It is best known for its early production of glass jars, lids, and related products used for home canning.",9389,NYSE,USD,USA,MANUFACTURING,METAL CANS,"10 LONGS PEAK DRIVE, BROOMFIELD, CO, US",December,44561,25902535000,2133000000,30.43,1.975,11.36,0.7,0.0099,2.65,42.37,0.0636,0.104,0.0472,0.25,13811000000,2726000000,2.65,0.327,0.184,101.88,30.43,20.62,1.875,7.19,2.437,17.02,0.499,97.77,77.45,88.56,90.61,321212000,2022-06-15,2022-05-31,
CBT,Common Stock,Cabot Corporation,None,16040,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"TWO SEAPORT LANE SUITE 1300, BOSTON, MA, US",September,44561,3726241000,621000000,38.46,1.83,14.03,1.42,0.0225,1.712,63.95,0.0278,0.128,0.0919,0.142,3631000000,806000000,1.712,0.514,0.298,79.6,38.46,11.56,1.026,4.693,1.339,11.49,1.439,74.49,47.05,69.46,58.95,56587000,2022-03-11,2022-02-24,
CC,Common Stock,The Chemours Company,"The Chemours Company offers high performance chemicals in North America, Asia Pacific, Europe, the Middle East, Africa and Latin America. The company is headquartered in Wilmington, Delaware.",1627223,NYSE,USD,USA,LIFE SCIENCES,CHEMICALS & ALLIED PRODUCTS,"1007 MARKET STREET, WILMINGTON, DE, US",December,44651,5273029000,1007000000,9.19,8.75,6.71,1,0.0302,3.6,38.47,0.0958,0.109,0.059,0.641,6345000000,1381000000,3.6,11.37,0.177,39.4,9.19,7.36,0.831,4.873,1.23,6.63,1.997,39.2,22.56,30.42,31.63,159306000,2022-06-15,2022-05-13,
CCK,Common Stock,Crown Holdings Inc,"Crown Holdings, Inc. designs, manufactures and sells products and packaging equipment for consumer goods and industrial products in the Americas, Europe and Asia Pacific. The company is headquartered in Yardley, Pennsylvania.",1219601,NYSE,USD,USA,MANUFACTURING,METAL CANS,"770 TOWNSHIP LINE ROAD, YARDLEY, PA, US",December,44651,13605595000,295000000,None,6.66,15.31,0.8,0.0079,-4.297,87.39,-0.0492,-0.0147,-0.0069,-0.145,11394000000,2365000000,-4.297,-0.507,0.241,142.53,-,13.89,1.194,7.43,1.749,78.1,1.089,130.42,94.72,121.62,110.92,123362000,2022-05-26,2022-03-09,
CRM,Common Stock,salesforce.com inc,"Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.",1108524,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"THE LANDMARK, ONE MARKET STREET STE.300, SAN FRANCISCO, CA, US",January,44592,1.7649E+11,3064000000,119.98,1.88,58.78,0,0,1.48,27.74,0.0545,0.0227,0.0047,0.029,26492000000,19466000000,1.48,-0.591,0.259,290.76,119.98,37.59,6.66,3.008,6.73,46.36,1.092,311.75,167.55,199.29,244.39,990000000,None,None,
FN,Common Stock,Fabrinet,"Fabrinet offers optical packaging and precision electronic, electromechanical and optical manufacturing services in North America, Asia-Pacific and Europe. The company is headquartered in George Town, the Cayman Islands.",1408710,NYSE,USD,USA,MANUFACTURING,TELEPHONE & TELEGRAPH APPARATUS,"5/6 MOO 6,  SOI KHUNPRA, PHAHOLYOTHIN RD, KLONGNUENG, KLONGLUANG, PATUMTHANEE, TH",June,44651,3678073000,213335000,21.53,1.19,32.42,0,0,4.618,56.87,0.0826,0.0837,0.0676,0.155,2098839000,221363000,4.618,0.383,0.249,122.25,21.53,-,1.752,3.029,1.502,14.77,0.929,126.28,77.3,100.44,104.93,36995300,None,None,
FR,Common Stock,First Industrial Realty Trust Inc,"First Industrial Realty Trust, Inc. (NYSE: FR) is a leading fully integrated industrial real estate owner, operator, and developer with a history of providing industry-leading customer service to multinational corporations and regional clients. ",921825,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 NORTH WACKER DRIVE, SUITE 4200, CHICAGO, IL, US",December,44651,7414496000,318323000,26.91,3.74,16.66,1.08,0.0203,2.087,3.671,0.569,0.377,0.0281,0.132,476129000,344829000,2.087,0.35,0.082,69.83,26.91,53.76,15.57,3.458,19.36,21.45,0.956,66.42,47.02,60.42,58.85,132001000,2022-04-18,2022-03-30,
FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",December,44561,47752258000,730200000,79.62,3.353,4.825,0,0,3.63,20.48,0.182,0.193,0.081,0.733,3342200000,2559200000,3.63,0.348,0.288,362.45,79.62,58.48,14.29,59.46,13.44,61.72,1.144,371.77,195.96,319.26,314.27,160815000,None,None,
GIL,Common Stock,Gildan Activewear Inc,"Gildan Activewear Inc. manufactures and sells various apparel products in the United States, Canada, and internationally. The company is headquartered in Montreal, Canada.",1061894,NYSE,USD,USA,MANUFACTURING,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,"600 BOULEVARD DE MAISONNEUVE OUEST, 33RD FLOOR, MONTREAL, QC, CA",December,44561,6461807000,634826000,11.07,2.443,9.98,0.462,0.02,3.07,14.83,0.208,0.177,0.105,0.349,2922570000,830209000,3.07,1.625,0.136,42.28,11.07,11.95,2.211,3.346,2.386,8.97,1.634,43.27,31.58,36.95,38.4,189590000,2022-04-11,2022-03-16,
GOOG,Common Stock,Alphabet Inc,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,44651,1.539E+12,91144004000,20.88,0.808,380.04,0,0,112.2,385.89,0.295,0.305,0.145,0.321,2.57637E+11,1.46698E+11,112.2,0.377,0.324,3168.89,20.88,20.04,5.97,5.96,5.19,13.72,1.061,3042,2230.05,2636.84,2776.15,313376000,None,None,
GOOGL,Common Stock,Alphabet Inc,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,44651,1.539E+12,91144004000,20.78,0.802,380.04,0,0,112.2,385.89,0.295,0.305,0.145,0.321,2.57637E+11,1.46698E+11,112.2,0.377,0.324,3296.76,20.78,19.88,5.97,5.92,5.19,13.72,1.061,3030.93,2193.62,2629.01,2763.81,300764000,None,None,
